Champion,Pos,GP,P%,B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Cluster,PC1,PC2,Pos_Color,Presence,Meta_Tier
Vi,Jungle,16,20.0,21.3,31.0,44.0,3.375,3.375,5.3125,2.6,68.5,20.5,25.0,28.0,47.0,-2.2,6.7,19.5,319.0,12.6,20.4,0.37,0.38,1,-0.5908470841995409,-0.5141322599024959,1,41.3,B
Viego,Jungle,2,2.5,0.0,50.0,100.0,6.5,3.0,5.0,3.8,71.9,17.1,0.0,-394.0,-388.0,-2.5,7.6,24.4,528.0,15.6,23.4,0.34,0.46,1,0.6489725155533429,0.05781254475130839,1,2.5,C
Viktor,Middle,7,8.8,2.5,57.0,43.0,4.0,1.8571428571428572,6.0,5.4,65.4,15.9,29.0,-20.0,159.0,2.1,8.8,24.7,931.0,32.0,23.7,0.48,0.2,3,2.4833444316894075,0.27095743195386596,2,11.3,B
Wukong,Jungle,21,26.3,35.0,57.0,14.0,3.857142857142857,2.857142857142857,7.238095238095238,3.9,65.6,19.5,24.0,81.0,53.0,1.7,7.1,21.2,428.0,14.8,20.4,0.34,0.4,1,-0.06769798377024956,0.10857631796352629,1,61.3,A
Xayah,ADC,11,13.8,10.0,55.0,73.0,3.909090909090909,2.272727272727273,6.2727272727272725,4.5,64.0,15.7,36.0,-39.0,162.0,2.3,9.4,31.3,742.0,26.8,25.1,0.42,0.37,3,2.1130341249168794,0.32794403614409356,3,23.8,B
Xin Zhao,Jungle,28,35.0,10.0,61.0,71.0,2.9285714285714284,3.0714285714285716,7.857142857142857,3.5,65.7,22.6,25.0,-188.0,-132.0,-2.9,6.8,20.4,449.0,16.1,19.6,0.34,0.36,1,-0.4273858193704539,-0.2528701096491614,1,45.0,A
Yone,Middle,5,6.3,11.3,80.0,100.0,6.0,1.6,7.6,8.5,73.1,11.6,80.0,197.0,247.0,0.6,9.0,28.6,711.0,23.9,25.8,0.42,0.26,3,2.3695616712775776,2.0600720850450323,2,17.6,B
Yorick,Top,3,3.8,7.5,0.0,33.0,1.0,5.0,3.3333333333333335,0.9,68.4,27.3,0.0,-77.0,4.0,6.0,6.9,21.2,609.0,27.0,22.0,0.42,0.21,1,0.3811945152670018,-2.6966494406093617,0,11.3,C
Yunara,ADC,15,18.8,70.0,67.0,7.0,5.133333333333334,2.6666666666666665,7.933333333333334,4.9,72.3,20.4,20.0,-29.0,-78.0,-0.9,9.2,30.3,780.0,27.2,26.1,0.45,0.36,3,2.073880469084059,0.5511857328664592,3,88.8,S
Zed,Jungle,1,1.3,0.0,0.0,100.0,2.0,3.0,4.0,2.0,85.7,16.7,100.0,334.0,411.0,8.0,7.2,19.4,575.0,22.3,23.0,0.34,0.27,3,0.6368074797684181,0.1784116269664107,1,1.3,C
Zeri,ADC,1,1.3,1.3,100.0,100.0,11.0,1.0,10.0,21.0,87.5,14.3,0.0,354.0,-888.0,-10.0,9.5,23.1,981.0,31.4,26.8,0.41,0.41,0,3.5595240495056606,4.955158093987293,3,2.6,C
Ziggs,ADC,7,8.8,8.8,43.0,57.0,4.285714285714286,3.142857142857143,7.428571428571429,3.7,68.9,19.1,0.0,92.0,313.0,-1.3,8.4,26.3,873.0,31.4,23.0,0.52,0.2,3,2.081304526154358,-0.26852276682244464,3,17.6,B
Ziggs,Middle,2,2.5,8.8,100.0,100.0,5.0,1.5,8.0,8.7,66.7,18.8,0.0,208.0,-25.0,3.0,9.4,28.6,919.0,34.1,24.7,0.4,0.17,3,3.1248950485092473,0.8726761740033171,2,11.3,B
Zoe,Middle,1,1.3,2.5,100.0,0.0,6.0,1.0,13.0,19.0,82.6,8.3,100.0,594.0,650.0,2.0,8.2,24.9,943.0,25.9,26.0,0.58,0.2,3,2.786722587626029,5.140579281373489,2,3.8,C
